item_name,item_brand,item_main_category,item_sub_category,Best_Profit_GBP_Per_Item,Best_Profit_Margin_Per_Item
after shave,Dolce&Gabbana,Cosmetics & Makeup & Selfcare,Selfcare,22.6,0.452
hand bag,Karl Lagerfeld,Shoes & Bags,Bags,166.3,0.45193548387096771
boot,Karl Lagerfeld,Shoes & Bags,Shoes,153.6,0.4517647058823529
peeling,Lancome,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,15.8,0.45142857142857146
hand cream,Shiseido,Cosmetics & Makeup & Selfcare,Selfcare,15.8,0.45142857142857146
denim jacket,Lee,Outerwear,Jackets,38.9,0.45111111111111113
scarf,Pierre Cardin,Accessories,Scarves & Winter Hats & Gloves,6.4,0.45
scarf,U.S. Polo Assn.,Accessories,Scarves & Winter Hats & Gloves,9.4,0.45
shorts,U.S. Polo Assn.,Bottoms,Shorts,15.0,0.45
trousers,Dockers,Bottoms,Trousers,26.0,0.45
hiking shoes,U.S. Polo Assn.,Shoes & Bags,Shoes,5.9,0.45
hat,Puma,Accessories,Headwear,9.0,0.45
foundation,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,19.3,0.45
scarf,Nautica,Accessories,Scarves & Winter Hats & Gloves,4.5,0.45
postman bag,Puma,Shoes & Bags,Bags,14.8,0.45
jeans,Guess,Bottoms,Trousers,47.0,0.45
body lotion,Versace,Cosmetics & Makeup & Selfcare,Selfcare,40.5,0.45
sport accessories,Nike,Accessories,Sports Equipment,1.7000000000000002,0.44999999999999996
lipstick,Pierre Cardin,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,2.2,0.44999999999999996
nail polish,Pierre Cardin,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,0.89999999999999991,0.44999999999999996
after shave,Pierre Cardin,Cosmetics & Makeup & Selfcare,Selfcare,0.89999999999999991,0.44999999999999996
swimming goggles,Nike,Accessories,Eyewear,0.89999999999999991,0.44999999999999996
baby bedding,U.S. Polo Assn.,Home & Decoration,Bedding,1.7999999999999998,0.44999999999999996
body lotion,Pierre Cardin,Cosmetics & Makeup & Selfcare,Selfcare,1.7999999999999998,0.44999999999999996
water bottle,Puma,Home & Decoration,Termos & Bottles,3.5999999999999996,0.44999999999999996
tie,Dockers,Accessories,Ties,0.89999999999999991,0.44999999999999996
beanie,Dockers,Accessories,Scarves & Winter Hats & Gloves,0.89999999999999991,0.44999999999999996
tote bag,Guess,Shoes & Bags,Bags,51.7,0.44956521739130439
lifestyle shoes,Vans,Shoes & Bags,Shoes,94.7,0.4490909090909091
hiking shoes,Vans,Shoes & Bags,Shoes,33.6,0.44888888888888889
jumper,Vans,Suits & Tops,Jumpers,20.2,0.44888888888888889
necklace,Calvin Klein,Accessories,Jewellery,19.5,0.44799999999999995
perfume set,Shiseido,Cosmetics & Makeup & Selfcare,Perfume,11.2,0.44799999999999995
suitcase,U.S. Polo Assn.,Accessories,Luggage,32.8,0.44666666666666671
skin care set,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,30.6,0.44666666666666671
beanie,U.S. Polo Assn.,Accessories,Scarves & Winter Hats & Gloves,6.6999999999999993,0.4466666666666666
capri pants,U.S. Polo Assn.,Bottoms,Shorts,6.6999999999999993,0.4466666666666666
jacket,Hummel,Outerwear,Jackets,19.2,0.4466666666666666
lipstick,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,12.8,0.4466666666666666
hand bag,U.S. Polo Assn.,Shoes & Bags,Bags,15.600000000000001,0.4466666666666666
swim shorts,Nautica,Beachwear,Swimwear,11.0,0.4466666666666666
clutch,U.S. Polo Assn.,Shoes & Bags,Bags,15.3,0.4466666666666666
shoulder bag,U.S. Polo Assn.,Shoes & Bags,Bags,24.0,0.4466666666666666
eyeliner,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,10.9,0.4466666666666666
backpack,U.S. Polo Assn.,Shoes & Bags,Bags,21.4,0.4466666666666666
sneaker,U.S. Polo Assn.,Shoes & Bags,Shoes,14.100000000000001,0.4466666666666666
brow kit,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,13.7,0.4466666666666666
highlighter,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,14.7,0.4466666666666666
hair dryer,Philips,Home & Decoration,Home & Decoration,26.700000000000003,0.4466666666666666
cross body bag,U.S. Polo Assn.,Shoes & Bags,Bags,23.5,0.44571428571428573
hooded jacket,Hummel,Outerwear,Jackets,15.600000000000001,0.44571428571428573
steam iron,Philips,Home & Decoration,Home & Decoration,56.8,0.44571428571428573
shaver,Philips,Home & Decoration,Home & Decoration,50.7,0.44571428571428567
hair straightener,Philips,Home & Decoration,Home & Decoration,40.1,0.44555555555555559
boot,Harley Davidson,Shoes & Bags,Shoes,41.0,0.44555555555555559
body lotion,Paco Rabanne,Cosmetics & Makeup & Selfcare,Selfcare,40.1,0.44555555555555559
cordless vacuum,Philips,Home & Decoration,Home & Decoration,113.6,0.44549019607843138
puffer coat,Columbia,Outerwear,Coats,128.0,0.44530612244897955
concealer,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,14.399999999999999,0.445
lifestyle shoes,U.S. Polo Assn.,Shoes & Bags,Shoes,10.9,0.445
shorts,Kappa,Bottoms,Shorts,10.7,0.445
postman bag,U.S. Polo Assn.,Shoes & Bags,Bags,13.7,0.445
blusher,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,13.399999999999999,0.445
boot,U.S. Polo Assn.,Shoes & Bags,Shoes,23.5,0.445
lip pencil,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,8.9,0.445
powder,Clinique,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,14.2,0.44444444444444442
denim jacket,Wrangler,Outerwear,Jackets,39.7,0.44444444444444442
sunglasses,Dolce&Gabbana,Accessories,Eyewear,84.9,0.444
thermals,Columbia,Homewear & Underwear,Undershirts,11.1,0.444
knife set,Zwilling,Home & Decoration,Home & Decoration,77.6,0.44342857142857139
